# ipa-fr.tsv —— 由 scripts/build-ipa.ts 生成，可手工修正
# 数据源：open-dict-data/ipa-dict fr_FR（MIT）
# 已按标准加拿大法语调整：â → /ɑ/，闭音节 ê / aî → /ɛː/（见 toCanadianStandard）
# 只收能归约成单个词的条目，多词语块手写在 ipa-fr-manual.tsv
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
dénonce	/denɔ̃s/
Toutefois / Néanmoins	/tutfwa/ / /neɑ̃mwɛ̃/
Or	/ɔʁ/
entraîner / provoquer	/ɑ̃tʁɛne/ / /pʁɔvɔke/
Cordialement	/kɔʁdjalmɑ̃/
Finalement	/finalmɑ̃/
le courriel	/kuʁjɛl/
le stationnement	/stasjɔnmɑ̃/
magasiner / le magasinage	/magazine/ / /magazinaʒ/
le dépanneur	/depanœʁ/
le déjeuner / le dîner / le souper	/deʒœne/ / /dine/ / /supe/
le char	/ʃaʁ/
la job	/dʒɔb/
le breuvage	/bʁœvaʒ/
la traverse / le traversier	/tʁavɛʁs/ / /tʁavɛʁsje/
le cellulaire	/selylɛʁ/
présentement	/pʁezɑ̃tmɑ̃/
la municipalité / la ville	/mynisipalite/ / /vil/
le parrainage	/paʁɛnaʒ/
l'intégration	/ɛ̃tegʁasjɔ̃/
la poudrerie	/pudʁəʁi/
le verglas	/vɛʁgla/
la tuque / les mitaines	/tyk/ / /mitɛn/
la canicule	/kanikyl/
le pourboire	/puʁbwaʁ/
le bilinguisme	/bilɛ̃gɥism/
les compétences	/kɔ̃petɑ̃s/
embaucher / recruter	/ɑ̃boʃe/ / /ʁəkʁyte/
le préavis	/pʁeavi/
le collègue / la collègue	/kɔlɛg/ / /kɔlɛg/
la réunion	/ʁeynjɔ̃/
le télétravail	/teletʁavaj/
démissionner	/demisjɔne/
le chômage	/ʃomaʒ/
le harcèlement	/ʼaʁsɛlmɑ̃/
le syndicat	/sɛ̃dika/
le logement	/lɔʒmɑ̃/
le loyer	/lwaje/
le propriétaire / le locataire	/pʁɔpʁijetɛʁ/ / /lɔkatɛʁ/
le bail	/baj/
les charges	/ʃaʁʒ/
le colocataire / la colocation	/kɔlɔkatɛʁ/ / /kɔlɔkasjɔ̃/
emménager / déménager	/ɑ̃menaʒe/ / /demenaʒe/
le chauffage	/ʃofaʒ/
réparer / la réparation	/ʁepaʁe/ / /ʁepaʁasjɔ̃/
la moisissure	/mwazisyʁ/
l'infiltration	/ɛ̃filtʁasjɔ̃/
le concierge	/kɔ̃sjɛʁʒ/
le voisin / le voisinage	/vwazɛ̃/ / /vwazinaʒ/
les ordures / le recyclage / le compost	/ɔʁdyʁ/ / /ʁəsiklaʒ/ / /kɔ̃pɔst/
l'hypothèque	/ipɔtɛk/
la banlieue	/bɑ̃ljø/
l'embourgeoisement	/ɑ̃buʁʒwazmɑ̃/
l'urgence / les urgences	/yʁʒɑ̃s/ / /yʁʒɑ̃s/
le spécialiste	/spesjalist/
l'ordonnance / la prescription	/ɔʁdɔnɑ̃s/ / /pʁɛskʁipsjɔ̃/
la pharmacie / le pharmacien	/faʁmasi/ / /faʁmasjɛ̃/
le rhume / la grippe	/ʁym/ / /gʁip/
guérir / la guérison	/geʁiʁ/ / /geʁizɔ̃/
le stress / stressant	/stʁɛs/ / /stʁɛsɑ̃/
la sédentarité	/sedɑ̃taʁite/
la facture	/faktyʁ/
le reçu	/ʁəsy/
la garantie	/gaʁɑ̃ti/
le remboursement / rembourser	/ʁɑ̃buʁsəmɑ̃/ / /ʁɑ̃buʁse/
l'échange	/eʃɑ̃ʒ/
le rabais / la réduction	/ʁabɛ/ / /ʁedyksjɔ̃/
les taxes	/taks/
l'inflation	/ɛ̃flasjɔ̃/
la prime / la franchise	/pʁim/ / /fʁɑ̃ʃiz/
le métro / l'autobus	/metʁo/ / /otɔbys/
la correspondance	/kɔʁɛspɔ̃dɑ̃s/
l'arrêt / la station	/aʁɛ/ / /stasjɔ̃/
l'horaire	/ɔʁɛʁ/
la grève	/gʁɛv/
l'immatriculation	/imatʁikylasjɔ̃/
la contravention / le constat	/kɔ̃tʁavɑ̃sjɔ̃/ / /kɔ̃sta/
le covoiturage	/kovwatyʁaʒ/
les embouteillages / la congestion	/ɑ̃butɛjaʒ/ / /kɔ̃ʒɛstjɔ̃/
réserver / la réservation	/ʁezɛʁve/ / /ʁezɛʁvasjɔ̃/
annuler / l'annulation	/anyle/ / /anylasjɔ̃/
le vol / le décollage / l'atterrissage	/vɔl/ / /dekɔlaʒ/ / /ateʁisaʒ/
la douane	/dwan/
l'université / la faculté	/ynivɛʁsite/ / /fakylte/
la formation	/fɔʁmasjɔ̃/
le stage / le stagiaire	/staʒ/ / /staʒjɛʁ/
l'apprentissage	/apʁɑ̃tisaʒ/
la société	/sɔsjete/
l'inégalité / les inégalités	/inegalite/ / /inegalite/
la pauvreté	/povʁəte/
